Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
T897QBMR,journalArticle,2022,"Chuatico, Georgina; Haan, Michael; Finlay, Lindsay",Forms of Capital in the Economic Integration of Immigrants in Canada,Journal of International Migration and Integration,,1874-6365,10.1007/s12134-022-00965-y,https://doi.org/10.1007/s12134-022-00965-y,"Immigration policies in Canada draw from the human capital model. Yet, many individuals admitted under this policy face barriers to actualizing their capital in the Canadian labour market. As a result, in the face of economic struggle, newcomers might choose alternative pathways to attaining employment, drawing both resources and opportunities from co-ethnic ties rather than integrating into the mainstream labour market. Using the Longitudinal Survey of Immigrants to Canada (LSIC) linked to the Longitudinal Immigration Database (IMDB), we examine the short-term effectiveness of these varying integration pathways and their long-term implications through an analysis of income trajectories. Our overall findings suggest the importance and transformability of human and social capital in the economic integration of immigrants in Canada.",2022-06-03,2023-04-05 15:10:34,2023-04-05 15:10:34,2023-04-03 16:00:00,,,,,,Int. Migration & Integration,,,,,,,,en,,,,,Springer Link,,,,C:\Users\Grant\Zotero\storage\UNM9VBZZ\Chuatico et al. - 2022 - Forms of Capital in the Economic Integration of Im.pdf,,,Canada; Income; Education; Ethnic economy; Human capital; Immigrants; Social capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I5K94AGA,journalArticle,2022,"Giannoni, Margherita; Grignon, Michel","Food insecurity, home ownership and income-related equity in dental care use and access: the case of Canada",BMC public health,,1471-2458,10.1186/s12889-022-12760-6,,"BACKGROUND: It has been documented that income is a strong determinant of dental care use in Canada, mostly due to the lack of public coverage for dental care. We assess the contributions of food insecurity and home ownership to income-related equity in dental care use and access. We add to the literature by adding these two variables among other socio-economic determinants of equity in dental care use and access to dental care. Evidence on equity in access to and use of dental care in Canada can inform policymaking. METHODS: We estimate income-related horizontal inequity indexes for the probability of 1) receiving at least one dental visit in the last 12 months; and 2) lack of dental visits during the 3 years before the interview. We conduct the analyses using data from the 2013-2014 Canadian Community Health Survey (CCHS) at the national and regional level. RESULTS: There is pro-rich inequity in the probability of visiting a dentist or an orthodontist and in access to dental care in Ontario. Inequities vary across jurisdictions. Housing tenure and food insecurity contribute importantly to both use of and access to dental care, adding information not captured by standard socio-economic determinants. CONCLUSIONS: Redistributing income may not be enough to reduce inequities. Careful monitoring of equity in dental care is needed together with interventions targeting fragile groups not only in terms of income but also in improving house and food security.",2022-03-14,2023-04-05 15:10:34,2023-04-05 15:10:34,,497,,1,22,,BMC Public Health,"Food insecurity, home ownership and income-related equity in dental care use and access",,,,,,,eng,,,,,PubMed,,PMID: 35287642 PMCID: PMC8919598,,"C:\Users\Grant\Zotero\storage\4KSFU9V5\Giannoni and Grignon - 2022 - Food insecurity, home ownership and income-related.pdf; ",http://www.ncbi.nlm.nih.gov/pubmed/35287642,,Canada; Dental care; Dental Care; Equity health care utilization; Food insecurity; Food Insecurity; Food Supply; Humans; Income; Ontario; Ownership; Socioeconomic Factors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33KV9CCQ,journalArticle,2022,"Stringer, Leandra; Ly, Tina Luu; Moreno, Nicolas Vanin; Hewitt, Christopher Macdonald; Haan, Michael; Power, Nicholas",Assessing geographic and industry-related trends in bladder cancer in Ontario: A population-based study,Canadian Urological Association Journal,,1920-1214,10.5489/cuaj.7263,https://cuaj.ca/index.php/journal/article/view/7263,"Introduction: Bladder cancer (BC) is the fifth most prevalent cancer in Canada, with 9000 Canadians diagnosed each year. While smoking is the most important risk factor, environmental and occupational carcinogens have been found to significantly contribute to BC rates. As Canada is highly reliant on natural resource industries, this study seeks to identify geographical and industry-related trends of BC rates in Ontario. Methods: The 1991 and 2001 Canadian Census Health and Environment Cohort (CanCHEC; Statistics Canada) was used, along with individual years of census data. Maps identifying hot and cold spots for BC within Ontario were generated, and the former were assessed for industry patterns between location and BC rates. Cox proportional hazards models were run for each age cohort to predict the likelihood of developing BC by industry of work. Results: Significant geographical and industrial trends in BC rates were identified. For 1991–2001, hot spots included the Cochrane, Manitoulin, Parry Sound, and Sudbury (90% confidence interval [CI]), and Nipissing and Temiskaming (95% CI) regions. Toronto and York were cold spots. Concurrently, metal (p=0.039), paper and publishing (p=0.0062), and wood and furniture (p&lt;0.0001) industries had increased rates of BC. Notably, these industries had high employment density in our hot spot areas and low density in our cold spots. Conclusions: Significant geographical and industrial BC trends were found in Northern Ontario regions reliant on heavy employment in natural resource-based industries, such as forestry, agriculture, and wood/paper. These findings may inform future screening guidelines and aid in identifying individuals at risk of BC development.",2022,2023-04-05 15:10:34,2023-05-16 20:13:51,2023-04-03 15:53:05,E82-7,,2,16,,,Assessing geographic and industry-related trends in bladder cancer in Ontario,,,,,,,en,Copyright (c) 2021 Canadian Urological Association,,,,cuaj.ca,,Number: 2,,C:\Users\Grant\Zotero\storage\UEXIMGCX\Stringer et al. - 2022 - Assessing geographic and industry-related trends i.pdf; ,http://www.ncbi.nlm.nih.gov/pubmed/34582334,,epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LNLNFUY3,journalArticle,2022,"Chuatico, Georgina; Haan, Michael",Bonding social ties: relative human capital and immigrant network choices,Journal of Ethnic and Migration Studies,,1369-183X,10.1080/1369183X.2020.1756761,https://doi.org/10.1080/1369183X.2020.1756761,"Upon migrating to a new country, immigrants will often turn to their ethnic communities for support, forming bonding social ties in the process. However, there are also those who form bridging ties by reaching outside of one’s immediate ethnic group. The social position occupied by individuals in society is maintained and reproduced by the cultural and human capital they possess, wherein the socialised dispositions, conceptions, and level of education unite and differentiate social groups. As a result, immigrant network formation occurs not only on the lines of ethnicity, but also on cultural and human capital. In this paper, we use the Longitudinal Survey of Immigrants to Canada to investigate how immigrants use social ties upon arrival to Canada. We find that newcomers with lower levels of human capital will be more likely to bond, whereas higher human capital newcomers will often bridge.",2022-05-19,2023-04-05 15:10:34,2023-04-05 15:10:34,2023-04-03 15:55:00,1690-1710,,7,48,,,Bonding social ties,,,,,,,,,,,,Taylor and Francis+NEJM,,Publisher: Routledge _eprint: https://doi.org/10.1080/1369183X.2020.1756761,,C:\Users\Grant\Zotero\storage\3XJ8SU5Z\Chuatico and Haan - 2022 - Bonding social ties relative human capital and im.pdf,,,Canada; Immigrants; bonding ties; cultural capital; human capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W7LCENAA,journalArticle,2022,"Yoshida, Yoko; Haan, Michael; Schaffer, Scott",Administrative data linkage in Canada: Implications for sociological research,Canadian Review of Sociology/Revue canadienne de sociologie,,1755-618X,10.1111/cars.12376,https://onlinelibrary.wiley.com/doi/abs/10.1111/cars.12376,"This paper explores some of the implications that administrative data, defined as data initially collected for purposes other than research, will have for Sociology. Although administrative data are “found” rather than “made” and, in turn, pose several challenges, we argue that the potential of these data warrant the investment, and may lead to a new methodological imagination that can shed a light on time-tested concepts and advance our understanding of society. We show that it is already possible to advance several sociological debates through the use of administrative data and demonstrate the potential of these data through some examples drawn from classical sociological theory. We conclude by arguing that administrative data's potential will likely ensure that it becomes an important component of sociological research agendas in the coming years.",2022,2023-04-05 15:10:34,2023-04-05 15:10:34,2023-04-03 15:55:06,251-270,,2,59,,,Administrative data linkage in Canada,,,,,,,en,,,,,Wiley Online Library,,_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1111/cars.12376,,C:\Users\Grant\Zotero\storage\5AATIW2M\Yoshida et al. - 2022 - Administrative data linkage in Canada Implication.pdf; C:\Users\Grant\Zotero\storage\42HDNMMU\cars.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS5XEVCX,journalArticle,2021,"Colpitts, Benjamin H.; Mayo, Andrea; Bélanger, Mathieu; Bouchard, Danielle R.; Boudreau, Jonathan; Rioux, Brittany V.; Sénéchal, Martin",Exploring the Association of a Total Physical Activity Energy Expenditure and Diabetes Mellitus in Adults: A Cross-Sectional Analysis of the Canadian Health Measures Survey,Metabolic Syndrome and Related Disorders,,1540-4196,10.1089/met.2021.0024,https://www.liebertpub.com/doi/abs/10.1089/met.2021.0024,"Background: Physical activity (PA) guidelines for adults recommend participation in aerobic activities of moderate-to-vigorous intensity and a minimum of two sessions of resistance training (RT) weekly. These guidelines account for a small amount of the total PA energy expenditure and include no recommendation for low intensity activities (sleeping, sedentary behavior, and light intensity PA). Consequently, there is a need to investigate the benefits of total PA energy expenditure and diabetes mellitus (DM); to investigate the association between total PA energy expenditure and DM in adults aged 45 years or above. Methods: Data from the Canadian Health Measures Survey (CHMS; n = 5591) were used for the cross-sectional analysis. DM was measured using hemoglobin glycated (A1c) and questionnaires in adults aged 45 and above. PA and sedentary behavior were estimated using accelerometry. Sleep and RT were self-reported. Total PA energy expenditure was computed using the sum of metabolic equivalent of task-min/week. Results: The mean age of the sample was 58.0 ± 0.2 years old. No associations were observed between total PA energy expenditure and self-reported T2DM in all models (P > 0.05). For objectively measured DM, this association was significant when adjusted for age, sex, ethnicity, and smoking [OR: 0.45; 95% CI (0.25–0.80)]; however, the association was no longer significant once adjusted for waist circumference and further adjusted for meeting the International PA Guidelines [OR: 0.64; 95% CI (0.33–1.27)] (P > 0.05). Conclusion: Total PA energy expenditure performed weekly is not associated with DM when considering other known risk factors, including waist circumference and meeting the PA guidelines.",2021-12,2023-04-24 20:31:09,2023-04-24 20:31:09,2023-04-24 20:31:09,556-561,,10,19,,,Exploring the Association of a Total Physical Activity Energy Expenditure and Diabetes Mellitus in Adults,,,,,,,,,,,,liebertpub.com (Atypon),,"Publisher: Mary Ann Liebert, Inc., publishers",,,,,CHMS; physical activity; resistance training; sedentary time; sleep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7YHSC4WD,journalArticle,2022,"Speed, David; Lamont, Allyson; MacDonald, Jordan; Hwang, Karen","Created Sick? Well, Not Exactly… Canadian Atheists Report Similar Levels of Impairment and Disability to the Religiously Affiliated",Journal of Disability & Religion,,2331-2521,10.1080/23312521.2022.2130500,https://doi.org/10.1080/23312521.2022.2130500,"Religion/spirituality (R/S) is positively associated with a variety of health outcomes, although how R/S relates to the likelihood or severity of impairment or disability is understudied. Given the broad salutary effects of R/S, we tested if nonreligious groups (specifically atheists) were more likely to report impairment or were more likely to report greater disability. Using Canadian data (N ≥ 1,000) from the 2015 General Social Survey (Cycle 29), we compared atheists to Agnostics, Nones, Protestants, Catholics, Christian Orthodox, and Eastern Religion practitioners. The results indicated that Atheists were slightly more likely to report the presence of impairment and disability relative to Catholics, but these effects were in the trivial-to-small range. When exploring the severity of self-reported disability across religious groups, atheists did not differ from any other religious group. These results are intriguing as the broader R/S-health literature has suggested that greater secularism should be associated with a health penalty; however, we found limited evidence to support this. Although we cannot state that atheism is necessarily healthy, the results of the current study would suggest that atheism is certainly not unhealthy.",2022-10-12,2023-04-24 20:30:23,2023-04-24 20:30:46,2023-04-24 20:30:23,1-20,,,,,,Created Sick?,,,,,,,,,,,,Taylor and Francis+NEJM,,Publisher: Routledge _eprint: https://doi.org/10.1080/23312521.2022.2130500,,"C:\Users\Grant\Zotero\storage\NH2QXCHD\Speed et al. - 2022 - Created Sick Well, Not Exactly… Canadian Atheists.pdf",,,Disability; impairment; psychology; religion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29DRGACA,journalArticle,2020,"Dabravolskaj, Julia; Montemurro, Genevieve; Ekwaru, John Paul; Wu, Xiu Yun; Storey, Kate; Campbell, Sandra; Veugelers, Paul J.; Ohinmaa, Arto",Effectiveness of school-based health promotion interventions prioritized by stakeholders from health and education sectors: A systematic review and meta-analysis,Preventive Medicine Reports,,2211-3355,10.1016/j.pmedr.2020.101138,https://www.sciencedirect.com/science/article/pii/S221133552030098X,"Childhood obesity and associated modifiable risk factors exert significant burden on the health care system. The goal of this systematic review and meta-analysis was to examine the effectiveness of school-based intervention types perceived by Canadian stakeholders in health and education as feasible, acceptable and sustainable in terms of improving physical activity (PA), fruit and vegetable intake, and body weight. We searched multiple databases for studies that evaluated school-based interventions to prevent obesity and associated risk factors (i.e., unhealthy diet, physical inactivity, sedentary behaviour) in children aged 4–18 years from January 1, 2012 to January 28, 2020. From 10,871 identified records, we included 83 and 80 studies in our systematic review and meta-analysis, respectively. Comprehensive School Health (CSH) and interventions which focused on modifications to school nutrition policies showed statistically significant positive effects on fruit intake of 0.13 (95% CI: 0.04, 0.23) and 0.30 (95% CI: 0.1, 0.51) servings per day, respectively. No intervention types showed statistically significant effect on vegetable intake. CSH, modifications to physical education (PE) curriculum, and multicomponent interventions showed statistically significant difference in BMI of −0.26 (95% CI: −0.40, −0.12), −0.16 (95% CI: −0.3, −0.02), and −0.18 (95% CI: −0.29, −0.07), respectively. CSH interventions showed positive effect on step-count per day, but no other types of interventions showed significant effect on any of PA outcome measures. Thus, the results of this systematic review and meta-analysis suggest that decision-makers should carefully consider CSH, multicomponent interventions, modifications to PE curricula and school nutrition policies to prevent childhood obesity.",2020-09-01,2023-04-24 20:23:36,2023-04-24 20:23:36,,101138,,,19,,Preventive Medicine Reports,,,,,,,,,,,,,,,,,,,,Childhood obesity prevention; Health promotion; Meta-analysis; School-based interventions; Systematic review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTSESYQ8,journalArticle,2021,"Ekwaru, John P; Ohinmaa, Arto; Dabravolskaj, Julia; Maximova, Katerina; Veugelers, Paul J",Cost-effectiveness and return on investment of school-based health promotion programmes for chronic disease prevention,European Journal of Public Health,,1101-1262,10.1093/eurpub/ckab130,https://doi.org/10.1093/eurpub/ckab130,"While school-based health prevention programmes are effective in addressing unhealthy diet and physical inactivity, little is known about their economic implications. We conducted an economic evaluation of the programmes that were previously identified as feasible, acceptable, and sustainable in the Canadian context.This study builds on a meta-analysis of the effectiveness of feasible, acceptable, and sustainable school-based health promotion programmes. A micro-simulation model incorporated intervention effects on multiple risk factors to estimate incremental cost-effectiveness and return on investment (ROI) of comprehensive school health (CSH), multicomponent, and physical education (PE) curriculum modification programmes. Cost-effectiveness was expressed as the programme costs below which the programme would be cost-effective at a CA$50 000 threshold level.The estimated costs below which interventions were cost-effective per quality-adjusted life year gained were CA$682, CA$444, and CA$416 per student for CSH, multicomponent, and PE curriculum modification programmes, respectively. CSH programmes remained cost-effective per year of chronic disease prevented for costs of up to CA$3384 per student, compared to CA$1911 and CA$1987 for multicomponent and PE curriculum modification interventions, respectively. If the interventions were implemented at total discounted intervention costs of CA$100 per student, ROI through the avoidance of direct healthcare costs related to the treatment and management of chronic diseases would be 824% for CSH, 465% for multicomponent interventions, and 484% for PE curriculum modification interventions.Whereas each examined intervention types showed favourable economic benefits, CSH programmes appeared to be the most cost-effective and to have the highest ROI.",2021-12-01,2023-04-24 20:23:15,2023-04-24 20:23:15,2023-04-24,1183-1189,,6,31,,European Journal of Public Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYHBDTTS,journalArticle,2022,"Liu, Jiaqi L.; Walker, Emily V.; Paudel, Yuba Raj; Davis, Faith G.; Yuan, Yan",Brain Metastases among Cancer Patients Diagnosed from 2010–2017 in Canada: Incidence Proportion at Diagnosis and Estimated Lifetime Incidence,Current Oncology,,1718-7729,10.3390/curroncol29030169,https://www.mdpi.com/1718-7729/29/3/169,"The incidence of BM among Canadian cancer patients is unknown. We aimed to estimate IP of BM at the time of cancer diagnosis and during the lifetime of patients with selected primary cancers. Data on BM at diagnosis from 2010–2017 was obtained from the CCR. Site-specific IPs of BM were estimated from provincial registries containing ≥90% complete data on BM. The CCR IP estimates and the IP estimates from literature were applied to the total diagnosed primary cancers to estimate the number of concurrent BM and lifetime BM from 2010–2017 in Canada, respectively. The annual average number of patients with BM at diagnosis from all cancer sites was approximately 3227. The site-specific IPs of BM at diagnosis were: lung (9.42%; 95% CI: 9.16–9.68%), esophageal (1.58%; 95% CI: 1.15–2.02%), kidney/renal pelvis (1.33%; 95% CI: 1.12–1.54%), skin melanoma (0.73%; 95% CI: 0.61–0.84%), colorectal (0.22%; 95% CI: 0.18–0.26%), and breast (0.21%; 95% CI: 0.17–0.24%). Approximately 76,546 lifetime BM cases (or 5.70% of selected fifteen primary cancers sites) were estimated to have occurred from the 2010–2017 cancer patient cohort. These findings reflect results of population analyses in the US and Denmark. We recommend improved standardization of the collection of BM data within the CCR.",2022-03,2023-04-24 20:22:48,2023-04-24 20:22:48,2023-04-24 20:22:48,2091-2105,,3,29,,,Brain Metastases among Cancer Patients Diagnosed from 2010–2017 in Canada,,,,,,,en,http://creativecommons.org/licenses/by/3.0/,,,,www.mdpi.com,,Number: 3 Publisher: Multidisciplinary Digital Publishing Institute,,C:\Users\Grant\Zotero\storage\MHIF4QP7\Liu et al. - 2022 - Brain Metastases among Cancer Patients Diagnosed f.pdf,,,Canada; brain metastases; incidence proportion; lifetime incidence; lung cancer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT3VUKGW,journalArticle,2022,"AbdulHussein, Ali; Cozzarin, Brian; Dimitrov, Stanko",Changes in consumer spending behavior during the COVID-19 pandemic across product categories,Electronic Commerce Research,,1572-9362,10.1007/s10660-022-09618-9,https://doi.org/10.1007/s10660-022-09618-9,"We examine changes in online consumer spending during the COVID-19 pandemic. Specifically, we compare consumer spending on various product categories before the pandemic started to after. Unlike previous work, we not only look at the different consumer demographic profiles but also different product categories, providing a better understanding of spending behavior. E-commerce has been a favorite way of shopping for consumers before the pandemic, while some demographic groups were reluctant to use e-commerce. However, as pandemic-related restrictions on physical shopping were put in place, consumers found e-commerce the only way to shop for many essential products. As such, consumer online spending changed. We employ freshly released Canadian Perspectives Survey Series (CPSS) data on consumer spending by Statistics Canada. We examine the association between various demographic factors and the change in online spending empirically. Our findings indicate that, compared to their counterparts, younger consumers are more likely to have increased online spending on product categories related to internet connectivity and streaming services. Female consumers exhibit increased online spending on similar products, in addition to online learning services and home exercise equipment. Consumers living in urban areas exhibit a higher probability of increased online spending on computers, smartphone devices, internet connectivity, and food delivery services. Consumers with at least one child exhibit a similar trend. Larger households exhibit a considerable increase in the probability of increased online spending on food delivery services. Lastly, consumers with higher education exhibit a higher probability of increased online spending on products related to online learning and streaming services.",2022-11-14,2023-04-24 20:22:27,2023-04-24 20:22:27,2023-04-24 20:22:27,,,,,,Electron Commer Res,,,,,,,,en,,,,,Springer Link,,,,C:\Users\Grant\Zotero\storage\8TFR2LAP\AbdulHussein et al. - 2022 - Changes in consumer spending behavior during the C.pdf,,,COVID-19; Channel uncertainty; Consumer spending; Demographic analysis; E-commerce; Online spending; Transaction cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BE7MYSYQ,journalArticle,2023,"Lehrer, Steven F.; Pan, Yazhuo; Finnie, Ross",Evolution of Gender Patterns in Retirement Saving in Canada,Canadian Public Policy,,0317-0861,10.3138/cpp.2022-034,https://www.utpjournals.press/doi/full/10.3138/cpp.2022-034,"Une préoccupation persistante au sujet des personnes âgées est leur capacité à maintenir leur bienêtre économique après leur retraite. Dans une large mesure, ce sont les décisions d’épargne prises pendant les années précédant la retraite qui financent la consommation pendant les années de retraite. Les disparités entre les sexes en ce qui concerne les gains sur le marché du travail et les régimes de retraite financés par l’employeur, de même que la longévité plus grande des femmes, donnent à penser que les ressources dont disposent les Canadiennes à la retraite sont probablement différentes de celles des Canadiens. En étudiant sur 38 ans les données administratives, représentatives à l’échelle nationale, d’une banque de données construite à partir des déclarations d’impôt sur le revenu des particuliers, nous examinons l’évolution des tendances de l’épargne-retraite par rapport à la répartition du revenu selon l’âge et la cohorte de naissance, pour les femmes et pour les hommes. Nous constatons que même si les femmes sont plus susceptibles d’épargner à tous les âges, sous réserve de leur participation, elles épargnent moins et ont tendance à être attirées par des placements qui, en moyenne, offrent un taux de rendement inférieur. Par conséquent, il est possible que les politiques centrées sur la marge d’épargne extensive (les décisions de participation) ne réduisent pas les différences de bienêtre économique entre les femmes et les hommes à la retraite, de sorte que les politiques devraient également viser la marge intensive (le montant de la contribution). Enfin, sur l’ensemble de la répartition des revenus, nous constatons une hétérogénéité substantielle des différences significatives entre les sexes quant aux effets de l’âge, de la cohorte et de la période, et ce, dans les deux marges d’épargne-retraite.",2023-02,2023-04-24 20:22:06,2023-04-24 20:22:06,2023-04-24 20:22:06,6-31,,S1,49,,,,,,,,,,,,,,,utpjournals.press (Atypon),,Publisher: University of Toronto Press,,C:\Users\Grant\Zotero\storage\W5CSHZZD\Lehrer et al. - 2023 - Evolution of Gender Patterns in Retirement Saving .pdf,,,age–period–cohort models; différence entre les sexes; épargne-retraite; gender differences; modèles âge-période-cohorte; pension; pensions; préparation à la retraite; retirement preparedness; retirement savings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85Z78JEM,journalArticle,2023,"Ferrer, Ana; Pan, Yazhuo (Annie); Schirle, Tammy","The Work Trajectories of Married Canadian Immigrant Women, 2006–2019",Journal of International Migration and Integration,,1874-6365,10.1007/s12134-023-01011-1,https://doi.org/10.1007/s12134-023-01011-1,"The behaviour of married immigrant women regarding fertility and labour markets is an essential piece to understand the economic and cultural integration of immigrant households. However, the contribution of married immigrant women to the Canadian labour market was—until recently—considered of secondary importance and their labour market choices studied within an economic framework of temporary attachment to the labour force. Recent research, however, finds that a significant fraction of married immigrant women make labour supply decisions (and face barriers) similar to those of native-born married women. We show that this is the case in Canada as well, by estimating the progress of immigrant women over the 2000s. We use traditional measures of labour market outcomes, such as participation, employment and wages, but also novel estimates of labour market dynamics, such as transitions across labour market states to show the work trajectories of married Canadian immigrant women. Results show that immigrant women are less likely to transition into employment—more likely to transition out of employment to either unemployment or inactivity—and more likely to respond to income shocks than the Canadian born. There is evidence of a gradual convergence with years spent in Canada to the outcomes of the Canadian born, which is much slower for immigrant women than immigrant men.",2023-02-25,2023-04-24 20:18:41,2023-04-24 20:18:41,2023-04-24 20:18:41,,,,,,Int. Migration & Integration,,,,,,,,en,,,,,Springer Link,,,,C:\Users\Grant\Zotero\storage\2W4PPP8C\Ferrer et al. - 2023 - The Work Trajectories of Married Canadian Immigran.pdf,,,Convergence in labour outcomes; Immigrant women; Labour force attachment; Transition rates between labour states,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QS92YF5S,journalArticle,2022,"Topcu, Basak; Dias, Goretty M.; Mollaei, Sadaf","Ten-Year Changes in Global Warming Potential of Dietary Patterns Based on Food Consumption in Ontario, Canada",Sustainability,,2071-1050,10.3390/su14106290,https://www.mdpi.com/2071-1050/14/10/6290,"Many studies have evaluated the life cycle environmental impacts of diets based on a single period, but few studies have considered how environmental impacts of diets change over time, even though dietary patterns (DPs) change due to policy and socio-demographic factors. This study evaluated changes in the global warming potential (GWP) of DPs in the province of Ontario, Canada, using a life cycle assessment. We quantified the farm-to-fork GWP of six DPs (Omnivorous, No Pork, No Beef, No Red Meat, Pescatarian, and Vegetarian), using dietary intake data from a 2014 and 2015 survey. Throughout this period, the biggest decrease in GWP was for DPs containing beef, even though these DPs still have the highest GWP (3203 and 2308 kg CO2e, respectively, based on the annual energy intake of one individual). Across all DPs, plant-based proteins contributed less than 5% to GWP, while meat and fish contributed up to 62% of the total GWP. Ten-year GWP reductions are insufficient to meet climate change and other sustainability goals, and major dietary shifts are needed, particularly substituting animal-based proteins with plant-based proteins. To design effective interventions for shifting towards sustainable diets, research is needed to understand how socio-demographic and regional differences influence individuals’ food choices.",2022-01,2023-04-24 20:18:16,2023-04-24 20:18:16,2023-04-24 20:18:16,6290,,10,14,,,,,,,,,,en,http://creativecommons.org/licenses/by/3.0/,,,,www.mdpi.com,,Number: 10 Publisher: Multidisciplinary Digital Publishing Institute,,C:\Users\Grant\Zotero\storage\MJIVPYXE\Topcu et al. - 2022 - Ten-Year Changes in Global Warming Potential of Di.pdf,,,Canada; dietary pattern; food consumption; global warming potential; greenhouse gas emissions; life cycle assessment; trends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GGY3259G,journalArticle,2022,"Alsabbagh, Mhd Wasem; Cooke, Martin; Elliott, Susan J.; Chang, Feng; Shah, Noor-Ul-Huda; Ghobrial, Marco","Stepping up to the Canadian opioid crisis: a longitudinal analysis of the correlation between socioeconomic status and population rates of opioid-related mortality, hospitalization and emergency department visits (2000-2017)","Health Promotion and Chronic Disease Prevention in Canada: Research, Policy and Practice",,2368-738X,10.24095/hpcdp.42.6.01,,"INTRODUCTION: High levels of income inequality and increased opioid-related harm across Canada bring into question the role of socioeconomic status (SES) in the opioid epidemic. Only a few studies have examined this association, and most of those have analyzed this issue on a provincial level. This study examined the association between opioid-related health outcomes and SES, and investigated rate ratios over time. METHODS: Administrative databases were used to identify opioid-related mortality, hospitalization and emergency department visits between 2000 and 2017. Patient's postal code was linked to the quintile of median household income at the forward sortation area level. Crude rates and age- and sex-adjusted rates in each quintile were calculated, as well as the adjusted rate ratio of average annual rates between the lowest and highest quintiles. The significance of the time trend of rate ratios for all outcomes was examined using linear regression. RESULTS: A stepped gradient of opioid-related outcomes across all income quintiles emerged from these data. For mortality, hospitalization and emergency department visits, the average annual rate ratio between lowest quintile and highest quintile was 3.8, 4.3 and 4.9, respectively. These ratios were generally stable and consistent over the study period, albeit the opioid-related mortality SES gap decreased gradually (p < 0.01). CONCLUSION: Area income quintile was found to be highly associated with opioid outcomes. Psychosocial factors (stress, unemployment, housing insecurity) that are typically concentrated in low SES areas may play a significant role in the opioid epidemic. Health policies should address these factors in order to provide effective solutions.",2022-06,2023-04-12 14:13:11,2023-04-12 14:13:11,,229-237,,6,42,,Health Promot Chronic Dis Prev Can,Stepping up to the Canadian opioid crisis,,,,,,,"eng, fre",,,,,PubMed,,PMID: 35766912 PMCID: PMC9388055,,C:\Users\Grant\Zotero\storage\9QZG2T4B\Alsabbagh et al. - 2022 - Stepping up to the Canadian opioid crisis a longi.pdf; ,http://www.ncbi.nlm.nih.gov/pubmed/35766912,,"Canada; Humans; Socioeconomic Factors; mortality; Hospitalization; analgesics; Analgesics, Opioid; emergency service; Emergency Service, Hospital; hospital; hospitalization; income; opiate addiction; opioid; Opioid Epidemic; social class; Social Class; time",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
